age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level
26.0,12.0,10.33,4.45,2.0,11.0,4.0,1.0,15.07,0.14,55.96,1.0
39.0,10.0,8.62,5.77,5.0,15.0,11.0,5.0,13.25,0.54,82.22,2.0
34.0,13.0,8.99,4.03,5.0,2.0,18.0,9.0,11.18,1.54,61.77,1.0
30.0,1.0,6.85,6.47,2.0,15.0,26.0,1.0,11.14,0.96,54.98,1.0
27.0,7.0,4.24,5.8,4.0,9.0,17.0,7.0,8.05,0.36,27.9,0.0
40.0,2.0,10.25,6.78,0.0,19.0,27.0,4.0,15.15,0.78,51.06,1.0
26.0,10.0,6.53,7.6,6.0,4.0,11.0,9.0,9.38,0.54,39.09,1.0
38.0,0.0,10.69,5.25,5.0,12.0,2.0,2.0,14.58,0.1,77.68,2.0
42.0,18.0,11.47,4.79,4.0,11.0,25.0,1.0,14.54,1.53,73.56,2.0
30.0,17.0,13.16,5.39,3.0,0.0,3.0,3.0,14.44,0.58,46.78,1.0
30.0,16.0,13.58,4.01,2.0,19.0,14.0,7.0,14.77,1.89,100.0,2.0
43.0,19.0,4.11,4.6,5.0,10.0,14.0,0.0,5.6,1.78,26.76,0.0
32.0,12.0,13.9,7.75,6.0,18.0,10.0,9.0,16.08,1.43,100.0,2.0
23.0,2.0,10.83,5.11,0.0,14.0,1.0,2.0,12.87,0.65,81.94,2.0
27.0,0.0,10.44,8.97,2.0,17.0,17.0,0.0,14.35,0.56,48.65,1.0
43.0,3.0,4.15,4.84,7.0,15.0,2.0,1.0,8.01,0.95,34.26,0.0
22.0,12.0,12.61,7.94,5.0,6.0,17.0,9.0,17.5,0.71,77.5,2.0
41.0,16.0,5.45,7.53,3.0,9.0,13.0,6.0,7.69,1.8,28.51,0.0
40.0,10.0,12.37,5.61,4.0,15.0,5.0,0.0,17.12,0.25,85.2,2.0
